source_row_number,offer_index,school_name,major_name,company_name_raw,issue_codes
25,2,东北大学,机械,中国电科28所,missing_work_content
25,3,东北大学,机械,航空工业,"missing_work_city,missing_work_content"
30,2,北京理工大学,控制科学与工程,航天科技第五研究院总体部,missing_work_content
31,1,四川某双非,机械工程,,"missing_company,missing_work_city"
31,4,四川某双非,机械工程,,missing_company
41,1,广东工业大学,机械专业,广汽集团,"data_year_suspect,missing_work_city"
41,2,广东工业大学,机械专业,,"data_year_suspect,missing_company,missing_work_city"
41,3,广东工业大学,机械专业,,"data_year_suspect,missing_company,missing_work_city"
45,1,清华大学,物理,中芯国际,"missing_work_city,missing_work_content"
74,1,中科技大学,通信工程,华为,"data_year_suspect,missing_work_city"
74,2,中科技大学,通信工程,华为,"data_year_suspect,missing_work_city"
74,3,中科技大学,通信工程,华为,"data_year_suspect,missing_work_city"
74,4,中科技大学,通信工程,华为,"data_year_suspect,missing_work_city"
77,3,清华大学,电子工程系,英伟达中国,first_year_income_suspect
88,2,吉林大学,化学专业,,missing_company
88,3,吉林大学,化学专业,,missing_company
95,2,南京理工大学,自动化,,missing_company
96,1,中国地质大学,计算机,,missing_company
100,3,中国地质大学,测绘工程,南京银行,missing_work_content
129,2,广东工业大学,计算机,,missing_company
154,1,复旦大学,材料化学,拼多多,missing_work_city
154,2,复旦大学,材料化学,美团,missing_work_city
154,3,复旦大学,材料化学,字节跳动,missing_work_city
154,4,复旦大学,材料化学,蚂蚁集团,missing_work_city
161,1,山西能源学院,化学工程与工艺,中化十四建,missing_work_city
163,2,山东大学,生物专业,,missing_company
171,1,湖南工业大学,物联网工程,网易湖域,data_year_suspect
171,2,湖南工业大学,物联网工程,游达科技,data_year_suspect
171,3,湖南工业大学,物联网工程,四三九九游戏公司,data_year_suspect
171,4,湖南工业大学,物联网工程,,"data_year_suspect,missing_company,missing_work_city"
175,3,烟台大学,通信工程,中国化学工程第六建设有限公司,missing_work_city
176,3,江苏大学京江学院,机械设计制造及其自动化,,missing_company
200,2,湖北普通一本,机械设计制造及其自动化,湖北省路桥集团有限公司,missing_salary_core
211,3,清华大学,电子工程系,英伟达中国,first_year_income_suspect
213,3,南京某211,商科专业,荣耀,missing_work_city
221,1,南京工业大学,电子信息工程,美的集团,missing_work_city
221,2,南京工业大学,电子信息工程,深信服,missing_work_city
229,3,沈阳大学,焊接工程,终和二三建设有限公司,missing_work_city
230,1,广东工业大学,电子商务,,missing_company
230,3,广东工业大学,电子商务,,missing_company
232,3,新加坡国立大学,计算机,广东省某985高校,missing_salary_core
233,1,绥化学院,电气工程及其自动化,黑龙江某华电,missing_work_city
238,3,四川大学,自动化专业,我电头核电技术服务有限公司,missing_work_city
242,2,昆明冶金高等专科学校,采矿工程,中国非金属材料南京矿山公司,missing_work_city
249,3,桂林电子科技大学,网络工程,华为,missing_work_city
253,2,中国地质大学武汉,安全工程,中建八局二公司,missing_work_city
269,1,东北林业大学,土木工程,中国中铁一局厦门公司,missing_work_city
271,2,西安建筑科技大学,材料与化工,中天钢铁,missing_work_city
277,1,三峡大学科技学院,电气工程及其自动化,,missing_company
289,2,湖南城市学院,化学工程与工艺,,missing_company
297,2,山东理工大学,能源与动力工程,国能建,missing_work_city
298,1,香港大学,计算机专业,阿里巴巴香港,monthly_salary_scaled_down_by_10
298,2,香港大学,计算机专业,工序香港,monthly_salary_scaled_down_by_10
298,3,香港大学,计算机专业,华为诺亚方舟实验室,monthly_salary_scaled_down_by_10
336,2,北京大学,金融专业,CITADE 财务建模与交易执行二cityIsecurties承保证券 OCCMIICICSMEmS,monthly_salary_scaled_down_by_10
337,3,香港城市大学,材料专业,,missing_company
341,2,东北财经大学,工商管理,基恩士,missing_work_city
341,3,东北财经大学,工商管理,真幸福,missing_work_city
